transaction_id,price,date_of_transfer,postcode,property_type,town_city
{5834E4E8-5F54-29C7-E063-4804A8C015BC},330000,2021-06-28,NW10 0DY,F,LONDON
{5834E4E8-5F65-29C7-E063-4804A8C015BC},720000,2021-04-22,E9 7FL,F,LONDON
{5834E4E8-631F-29C7-E063-4804A8C015BC},7100000,2021-06-30,SW1W 8DB,F,LONDON
{5834E4E8-633C-29C7-E063-4804A8C015BC},670000,2021-04-14,NW6 5FZ,F,LONDON
{5834E4E9-361A-29C7-E063-4804A8C015BC},335000,2021-03-05,SW19 2QR,F,LONDON
{5834E4E9-55CC-29C7-E063-4804A8C015BC},312500,2021-03-17,SW9 0BB,F,LONDON
{5834E4E9-9275-29C7-E063-4804A8C015BC},7300000,2021-03-31,W1U 1DB,F,LONDON
{DC4EACBC-ABEE-4758-B116-846B6F160799},220000,2002-05-06,SE6 1XD,T,LONDON
{3532CB0A-0FC9-47AF-BA21-77F163E33C31},143250,2002-04-12,SE14 5NX,F,LONDON
{5834E4E9-8FEB-29C7-E063-4804A8C015BC},250000,2006-11-05,W7 3SY,T,LONDON
{0B2D64A6-7405-47CA-A017-5B16F2B40370},336000,2006-03-31,E2 7JQ,F,LONDON
{8BA34587-2000-4DB7-9A03-542F4E0E4606},375000,2006-07-31,N6 5PA,F,LONDON
{70B2ADCD-DDEE-44F9-8A66-BF91357B1A78},365000,2006-04-05,W11 1EE,F,LONDON
{EA48F1D4-51C6-4742-AF6E-59CF906CCC8B},315000,2006-04-20,E2 7JQ,F,LONDON
{7C3A0319-F672-4B68-B473-9F2848390CF9},499950,2006-07-28,N6 5PA,F,LONDON
{8AC83B20-53CF-4D18-822A-B73E19DE932D},190000,2006-08-17,NW10 4NB,F,LONDON
{2A289EA1-4DD8-CDC8-E050-A8C063054829},335000,2006-06-29,E2 7JQ,F,LONDON
{6438CA64-2A26-479E-B174-1BE875D77E57},165000,2006-08-24,SE27 9RE,F,LONDON
{5834E4E9-9065-29C7-E063-4804A8C015BC},319200,2021-04-30,N15 5NY,O,LONDON
{5834E4E9-9066-29C7-E063-4804A8C015BC},360000,2021-04-30,N15 5NY,O,LONDON
