id,name,neighbourhood,room_type,price_gbp,minimum_nights
11551,Artistic London Pied-à-Terre,Lambeth,Entire home/apt,234.50,1
13913,Holiday London DB Room Let-on going,Islington,Private room,127.00,1
15400,Bright Chelsea  Apartment. Chelsea!,Kensington and Chelsea,Entire home/apt,137.50,4
17402,Spacious Fitzrovia 3bed/2bath By Soho & Oxford St,Westminster,Entire home/apt,606.67,3
24328,Battersea live/work artist house with car park,Wandsworth,Entire home/apt,228.00,3
36299,Kew Gardens 3BR house in cul-de-sac,Richmond upon Thames,Entire home/apt,261.00,3
36660,You are GUARANTEED to love this,Haringey,Private room,80.00,2
38605,SUNNY ROOM PRIVATE BATHROOM PLUS BREAKFAST,Hammersmith and Fulham,Private room,,2
38995,SPACIOUS ROOM IN CONTEMPORARY STYLE FLAT,Southwark,Private room,72.00,1
39387,Stylish bedsit in Notting Hill ish flat.,Westminster,Private room,,5
41509,Room in maisonette in chiswick,Hounslow,Private room,,1
42010,You Will Save Money Here,Barnet,Private room,72.00,2
43129,Quiet Comfortable Room in Fulham,Hammersmith and Fulham,Private room,61.00,3
43202,Beautiful 1 bed apt in Queens Park,Brent,Entire home/apt,,4
45163,Room with a garden,Camden,Private room,67.60,3
45168,Best Part of Town -Home from Home!,Westminster,Entire home/apt,,3
46992,"Beautiful, Luxurious Art Deco  +private bathroom",Hackney,Private room,,3
47192,Pleasant Single Room in zone 1.,Camden,Private room,66.50,2
47687,Cosy Double studio in Zone 2 Hammersmith (6),Hammersmith and Fulham,Entire home/apt,78.00,2
49970,Beautiful Small Studio Hammersmith,Hammersmith and Fulham,Hotel room,75.00,1
