id,listing_id,date,reviewer_name,comments
21032,15400,2009-12-21,[REDACTED],"We loved staying at Phillipa's place in Chelsea. The flat was lovely, and the neighborhood was great. Lots of fun shops, and close to two metro stops. We would love to stay there again!"
30672,11551,2010-03-21,[REDACTED],"The flat was bright, comfortable and clean and Adriano was pleasant and gracious about accommodating us at the last minute. The Brixton tube was a very short walk away and there were plenty of buses. There are lots of fast food restaurants, banks, and shops along the main street."
32236,11551,2010-03-29,[REDACTED],We stayed with Adriano and Valerio for a week when first moving to London. The apartment is great and very clean compared to a lot of places we've seen in London. Situated very close to Brixton tube and good bus links to central London. Thanks guys!
41044,11551,2010-05-09,[REDACTED],"Adriano was a fantastic host. We felt very at home while staying there. Our first morning we woke up and saw the dining table set for breakfast which was much appreciated. His flat is conveniently located a block from the tube station, with a number of shops and restaurants in the area as well. His place was very clean and tidy, overall just a fantastic experience. "
48926,11551,2010-06-01,[REDACTED],We had a most wonderful stay with Adriano and Valerio.  They are both interesting and interested hosts who serve a delicious cappuccino with breakfast in the morninig.  Their place is small but clean and comfy.  Central London is a short bus or tube ride ... very convenient.  We look forward to returning to London and staying with them again.  
58352,11551,2010-06-28,[REDACTED],"  I'm not sure which of us misunderstood the situation, but I was not aware that Adriano and his cousin would be in residence...I thought I was renting the apartment to myself. Nonetheless, he was a very gracious host. The neighborhood is not a good one, and anyone renting here should be aware of that. I would not walk in that area at night under any circumstances. The apartment is spotlessly clean though. "
66216,11551,2010-07-18,[REDACTED],"5***** Stars for Adriano & Valerio<br/>If you are looking for a nice, cosy and super clean room in London, you will be happy to stay at Adrianos and Valerios place. The both are friendly and welcoming hosts. They serve you a good breakfast with italian cappuccino in the morning. And if you are interested you can also have a nice discussion with Adriano and learn a lot about European culture and history. Thanks again for that!:) We just stayed one night at their appartment, but if we come back we will definitely try to stay at this place.<br/>Thanks again and best regards from Cologne<br/>// Steffi & Nino"
79600,11551,2010-08-16,[REDACTED],"the place is in a quiet side road, very convenient (a 2 minute slow walk) to the tube on Victoria line. The room is a bit small but very comfortable, clean and well organized, including wireless internet! The bathroom is spacious and clean.  Adriano is a wonderful host, very kind and ready to help. Also he prepares a fantastic cappuccino at breakfast!<br/>My daughter and I felt this was a great place, we stayed there 3 nights and felt safe and welcomed.  We warmly recommend Adriano's place. Grazie Adriano e ciao!<br/>Giusi & Elena "
80770,13913,2010-08-18,[REDACTED],"My girlfriend and I hadn't known Alina before we took the leap of faith to rent her flat. Alina just couldn't be nicer! Her flat is comfortable, homey, very sunny, and quiet at night. Her diverse neighborhood rocks! It's full of excellent eateries of varying ethnicities, good supermarkets, etc., etc. Her place is about a 10-minute walk to the Finsbury Park tube stop, and there are also several buses that ply Stroud Green Road. The Piccadilly and Victoria tube lines that serve Finsbury Park are very dependable and come frequently. My only caveat is if you are unwilling to take 20- to 40-minute commutes to downtown London attractions and money is no object, you will prefer to stay downtown. But for anyone else, you will love your experience of living in a real, untouristy neighborhood and dealing with a generous, warm-hearted woman I'm happy to call a new friend."
89501,11551,2010-09-03,[REDACTED],The room was as shown. Didn't have access to the living room much. I'd pick another place to stay closer to downtown I think next time. London was a great experience.
